	Aque_Archaeo_1	Aque_Archaeo_2	Aque_Aspcinzin	Aque_Bactericidal	Aque_Choano_to_pinaco	Aque_Choanocytes_1	Aque_Choanocytes_2	Aque_Collagen	Aque_Pinaco_1	Aque_Pinaco_2	Aque_Sperm	Aque_Unk_1	Aque_Unk_2	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_29	Slac_3	Slac_30	Slac_31	Slac_32	Slac_33	Slac_34	Slac_35	Slac_36	Slac_37	Slac_38	Slac_39	Slac_4	Slac_40	Slac_41	Slac_42	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Aque_Sperm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032923958781050484	0.003367424825716741	0.06178645101634429	0.0014158597380986508	0.385830687645999	0.006826200320182861	0.0020126965710456565	0.0	0.02303997028113614	0.01357317381384634	0.0029888624799632264	0.20409392477667354	0.0017419707143180054	0.01499455802921571	0.0013554960654933474	0.000602078156788408	0.001234627736842598	0.00030197224550822666	0.004578338915770771	0.0001083631265081235	0.0009015441452023066	0.0	9.093812912477672e-05	0.0009306517975646187	0.001014478514628828	0.011557775905187246	0.0	0.0010081391592306871	0.0017259661984966308	0.018706163210165563	0.0038686182486298354	0.010123504528805494	0.008505992794377585	0.0	0.46990014431757593	0.0	0.0	0.0	0.0	0.004502553134395116	0.4589162651792325	0.016723999527925273	0.001245440349157078
Aque_Unk_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030016630690274416	0.03249892883473489	0.2322175572959304	0.01833942136850683	0.6748476768327225	0.0282214140928093	0.0023267456929570154	0.00014709942438670837	0.051683530417797066	0.08527030950401396	0.00010220691750861282	0.296821015024788	0.04003646680073329	0.006673265181366367	0.005730807704039703	0.007766115264781287	0.014405679088109389	0.011340070443061063	0.036473916189623354	0.00861390941383147	0.011411779696199113	0.010167509031586936	0.008456226946822219	0.01879821884876067	0.003938748020191873	0.06926332931438782	0.001860050049767167	0.01832194440272622	0.010642554502065074	0.13226725151632573	0.0006423547644241011	0.03889931911402435	0.0100050022022351	0.003266179064903123	0.8417454580977324	0.0021596481496842334	0.0	0.0039050968686360696	0.031322654932485025	0.07345944653839646	0.6939429365548933	0.11022735361254152	0.023405127068997725
Aque_Unk_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005682829295228028	0.01904881584368874	0.027803025681633266	0.005998484211050269	0.007355368095653632	0.011208453236020186	0.007134702081681478	0.0007811026021311304	0.022421426509005794	0.010009147786561857	0.005809188095394247	0.002711836121967614	0.015910707459895472	0.0066923884080184485	0.0007468508733036178	0.003260050793950666	0.0006543422956289791	0.0	0.0	0.0006008361562919724	0.0055837854243547935	0.006039397082091029	0.005566784147990932	0.008669724322473173	0.0003940985778980879	0.00011103077982841469	0.00016293283506952331	0.0033286449010952574	0.0010953694488454618	0.0063453279655103795	0.0045381882330773	0.0006781902578294724	0.002838811688077817	0.0013146093200963648	0.02186440818521009	0.0005612088507893761	0.0	0.000759996990219901	0.002190644487811317	0.011635710434446804	0.02251421558735243	0.010682141180337803	0.003719771518870669
Slac_0	0.49503793493452497	0.49206428102194427	0.1605913228075075	0.02448682252783472	0.0005446635392335806	0.031722261711912766	0.029273616975729534	0.025600722501541717	0.023641118159821353	0.14852959624324039	0.0032923958781050484	0.030016630690274416	0.005682829295228028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_1	0.4191722262170834	0.549590896398384	0.342698965658476	0.0019013683725626926	0.012899223286153717	0.039467748859514575	0.03477662205378529	0.24882565844594712	0.050378197331490196	0.0936634223253478	0.003367424825716741	0.03249892883473489	0.01904881584368874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_10	0.04209631293290268	0.057634084624903346	0.1795958367942474	0.0009681734729462876	0.06013044114238427	0.3496990632140885	0.31827543223752575	0.05588589479157684	0.3674676087217502	0.39802838561820375	0.06178645101634429	0.2322175572959304	0.027803025681633266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_11	0.3509028186709088	0.3606763451136154	0.23900872741931364	0.00047990345785513705	0.0037938636079591095	0.03261984462811007	0.03218979579527987	0.056482822489887764	0.018607950488491544	0.0239673517166617	0.0014158597380986508	0.01833942136850683	0.005998484211050269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_12	0.06499330172954906	0.32011402358431457	0.43614434660764995	0.0005115050594766746	0.0038127458494136893	0.10344206353453626	0.06565731669130223	0.023786379157907465	0.023705212129551255	0.014815180558473287	0.385830687645999	0.6748476768327225	0.007355368095653632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_13	0.09427564750640015	0.2166109542088988	0.26159312613638547	0.007276171211047874	0.04106828476828882	0.08090322053032384	0.08637644296097388	0.043884306184447566	0.4275693751186872	0.5256904546589	0.006826200320182861	0.0282214140928093	0.011208453236020186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_14	0.00820124947116073	0.004625882613591722	0.015525545212082978	0.0011046206013947289	0.027003593498720956	0.03197498219953399	0.006300249521938857	0.013018171378539625	0.9170886909449465	0.23509367254609712	0.0020126965710456565	0.0023267456929570154	0.007134702081681478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
