	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_33	Scil_34	Scil_35	Scil_36	Scil_37	Scil_38	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_3	Slac_4	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Scil_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009281388297507569	0.04083333374972045	0.21318491421216335	0.035892418666648676	0.08763492462221961	0.07336254018089186	0.0035664827586437443	0.0005163425424069452	0.010923452571478353	0.04165677993629923	0.0020279835571939313	0.00010046956175952039	0.010854127063316617	0.07287646500312586	4.689273870954069e-05	0.021482522579896572	0.0011107285112962695	0.007558829569571071	0.009768716536809455	0.016812374544093515	0.060551796306587934	0.0029565062586546917	0.046769192607007536	0.005500093865336864	0.012571534350197783	0.009242424421767722	0.01870909004308437	0.05418950600751584	0.06561516573375634
Scil_19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22678504662852478	0.06997084906079762	0.0016794890692054462	0.733170600025655	0.00448286477663301	0.6889065505119822	0.05167351912762212	0.041803263687041584	0.027961255478632152	0.0010882989724831306	0.0030732522345985193	0.003933122305410192	0.08234470801588999	0.0007739119780015697	0.0001593627863420352	0.013418106715669165	0.00967409010878265	0.011825572427586643	0.0	0.0026396394855607522	0.8048968158007413	0.0006267720000383717	0.030762353831285928	0.10586239175387602	0.06068812511973267	0.04230776606226609	0.14883082513597987	0.011906595626928461	0.14613333958487115
Scil_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002781455637153502	0.0	0.4491341273762931	0.00193672455024498	0.12633156243301336	0.0	0.011621643966200208	0.0018764097603974563	0.006324872806131974	0.19655032517148058	0.010731924285500792	0.0	0.038781482702728735	0.1420526511121294	8.16346997399421e-05	0.016594785297329002	0.012920948825377965	0.01709994393672018	0.013660597565614432	0.06430572922801839	0.001164488372195111	0.12210113678826721	0.012408297432354116	0.0031048447085130935	0.00030122494017406973	0.04691627142601583	0.0	0.0	0.0
Scil_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6248872313134205	0.020107853937166773	0.211445793024581	0.0	0.00010794515988178214	0.0015303925723556629	0.0	0.0	0.998320733068773	0.03493914759390178	0.5593291365345474	0.00011114553930567155	0.0	0.11777046990484955	0.679100529368865	0.0014530465712708814	0.0333539254811981	0.0	0.20894227538269491	0.06470531182969677	0.0	0.0	0.03847872136873372	0.0	0.0	0.0	0.29395754371228383	0.003848095949609031	0.0007613504264894005
Scil_21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7799045849989139	0.15114253500175698	0.4819188009572935	0.007991247766852092	0.006053322088367677	0.026010462706737465	0.0002771020622625193	0.0032243804721260407	0.0002783652314596042	0.00029263870369682657	9.073175788394787e-05	0.0005863153577884362	0.022203174943511733	0.011817399012447051	0.0637957563651678	0.2369572206787014	0.0029372400436543677	0.00031801151922090725	0.004106859863892729	0.005872406260811288	0.006309288295117987	0.0	0.31079545421403737	0.06925729111468112	0.00863530542386683	0.022261298590226398	0.016437203734217826	0.09556676545797146	0.16808976471489548
Scil_22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026064180535607835	0.17738510047493788	0.0033475379993993483	0.012279059973522098	0.05610466310436145	0.002962158858502087	0.13257045609641174	0.20013785077638285	0.0	0.0006474883877105818	0.0011672248462665969	0.00453945412493553	0.42128854904644264	0.0013618499166022859	0.0	0.2587615229679735	0.008170870274917601	0.008847418316341093	0.00040176665914667	0.0006350395122866733	0.0	0.00012350535539544614	0.02451070833632828	0.3071896362625477	0.22744369465152894	0.28723687142630083	0.0033111523144844467	0.012544401329353926	0.0694354695064149
Scil_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5004006280205852	0.0	0.00018860473303290395	0.006281907533624988	0.024693719665502926	0.06880412399197704	0.2161452978977198	0.0	0.01920672747561671	0.0	0.12679224303011877	0.18880114699028214	0.0	0.0	0.0001351119512594794	0.02470731448416693	0.0	0.0	0.0	0.0	0.0	0.014381221960745419	0.3434362174044464	0.1746676885336119	0.014094459871159232	0.0015646460331962373	0.0236413166887842	0.8222238893473393
Scil_24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002682320449161708	0.6070863753368114	0.0	0.0020112985920336854	0.0	0.14049502301190814	0.07684782141208753	0.37908900191906236	0.0	0.07793060584724135	0.0005110722929157884	0.037175596565296384	0.15772498368872184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009389166790531943	0.6305816597622408	0.46504803386444743	0.03783438417141603	0.07706722646507644	0.04246723261757186	0.844486218618847
Scil_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07512080659971156	0.060906501680887036	0.009582253533639472	0.00018558852987866697	0.055460220586957584	0.0007703882465142942	0.011081639533023479	0.002004076711165706	0.007677448874242985	0.020877059691528286	0.002932569793022677	0.0015438270383435375	0.03995509341458407	0.05461930070278402	0.0006277830734671054	0.05716525114301306	0.002898347661864182	0.0016043327961476027	0.0021583277162681965	0.0017617671020901168	0.0005093463445553785	0.008363728007119566	0.18929760531564427	0.006829064594960908	0.0030277661155138523	0.02509421271085236	0.012603593287887068	0.04507645016869647	0.00023998776122139814
Scil_26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.419889342017389e-05	0.0024719476447231424	0.1360485676188158	0.0004538269707957623	0.0432654858073033	0.001640074656374899	0.0005294133715710021	0.0016576593808542317	0.0027763490577924236	0.0030547920585866496	0.000223123732388462	0.0	0.029003157601577078	0.037549592668483685	0.0	0.041130358046179975	0.0001766761978711004	0.0004630074398719192	0.0019039694394292288	0.0005693489811443946	0.0	0.13361169289420818	0.008749077272864952	0.000580139461776294	0.0016669179185659511	0.01577862690884435	0.0011210204243590745	0.00023558421840343463	0.0
