	Aque_0	Aque_1	Aque_10	Aque_11	Aque_12	Aque_13	Aque_14	Aque_15	Aque_16	Aque_17	Aque_18	Aque_19	Aque_2	Aque_20	Aque_21	Aque_22	Aque_23	Aque_24	Aque_25	Aque_26	Aque_3	Aque_4	Aque_5	Aque_6	Aque_7	Aque_8	Aque_9	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_3	Slac_4	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_33	Scil_34	Scil_35	Scil_36	Scil_37	Scil_38	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9
Aque_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035226574126899293	0.0024546823041520075	0.5350576259244804	0.21368291182003726	0.6384845612924863	0.0	0.26187061650834054	0.08242358528842889	0.013539612338884796	0.25337079495660497	0.0030866878213601096	8.67954187979903e-05	0.4351745204787689	0.00985389455855756	0.0	0.0021686877351492777	0.1858133093724716	0.043446404746624825	0.14044643783758887	0.01151934404758352	0.0	0.13334214752028378	0.001448140068458347	0.13109386283870014	0.12796325215713583	0.49554074044908153	0.00012162326594175418	8.902050994536824e-05	0.008458419844605016	0.42377151761421794	0.0	0.000977187854095712	0.046311557109185456	0.11193447009349447	0.02348942879229262	0.01004034607626084	0.0009499142047052055	0.05328467937453003	0.03300488347498974	0.11856317748403508	0.025415780519032937	0.0865402460235574	0.005193887753054149	0.004392741792558276	0.027213372612876173	0.0	0.0	0.028112499556264537	0.06972011917269408	0.27081106399817184	0.0003864396346812133	0.08746403701213665	0.07934802089411822	0.011964230353350359	0.0	0.0015616904540405878	0.058935846937385704	0.0007423053409060549	0.0006880510106199956	6.82017072762789e-05	0.0	0.0	0.2582026406415799	0.0020416846861420696	0.14089877808533618	0.0004377083199745593	0.5075479762483067	0.11328585404673326
Aque_19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028178543754256196	0.0058614719559287164	0.012430344632669815	0.0043092955952190575	0.0015115852149052064	0.009080805056845115	0.009254074794110206	0.0	0.026328278263216025	0.0003551663072416784	0.0017177894557146446	0.06435726210120933	0.0	0.0	0.0	0.0034210056892673554	0.003296707818277931	0.0009226651237917345	0.0	0.0	0.0	0.0001535379598830774	0.120589634321093	0.07745703233475584	0.06782302318076465	0.00538525617495683	0.002030417835558305	0.008313061183035122	0.0007665281299114501	0.0035184490654809877	0.0007606350530660959	0.0016083556476181424	0.00025964170727856093	0.001131341865552272	0.0021585102503736634	0.001063631736490927	0.0	0.0013828079254315988	0.003397453271456386	0.029841357429296233	0.0	0.002355949678910529	0.0012938419651581663	0.006267099375980184	0.01108966685121039	0.017882919277500315	0.0005101973061264256	0.0	0.0	0.004655806436939281	0.0	0.00010921240366922342	0.00016875572406300238	0.0001957740781055674	0.0023060886985312038	0.008415136857578009	0.00021305898241219716	0.002269687280056207	0.0	0.0	0.0	0.0	0.004528188486828962	0.00010163776404782919	0.0030087588807070982	0.003698130126425882	0.01023398030245637
Aque_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3575652945954936	0.00950203532118014	0.12478242085689266	0.0	0.04612962535401885	0.0035668024756354256	0.0	0.0	0.002490136163091833	0.2781428869401215	0.2395747195003723	0.0	0.0	0.8269089336886182	0.2387861331115626	0.1295912966945401	0.10223799528816721	0.0	0.03140740055542442	0.0	0.0	0.03666544879314418	0.3845213614220995	0.00018249474958097417	0.0	0.00014857520932492644	0.3644195355159464	0.016666815283332158	0.0	0.27663260931877887	0.0	0.0005170906298283467	0.24491934743928714	0.166771676514681	0.03875379721929855	0.003537948230387418	0.0011190318352239101	0.19098265746240953	0.11125874028013465	0.03750500298539261	0.016630046450014382	0.630413096991602	0.013249211482523834	0.04140647640012194	0.0	0.0	0.0	0.05316935191889027	0.08393878072252729	0.02594402662347267	0.007691278174228768	0.1633215626301532	0.29576095815225795	0.04782339536836562	0.10279131936765204	0.08482654516123748	0.0033881700821773745	0.0005348944350868158	0.0	0.00017822298325376575	0.04944619418195455	0.0016801638963201936	0.24370686977024275	0.0014281691336719405	0.3516894315036699	0.0034396550550903583	0.06471732321078905	0.1614080525697436
Aque_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27606655571243766	0.0	0.0	0.0	0.10097775145326382	0.0	0.004930176764854284	0.0	0.0006924469166060559	0.0	0.07568689788890265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06880615848853684	0.025729008368308205	0.0	0.0	0.0	0.21672237606202205	0.0	0.0658815791401658	0.04318180856897266	0.0	0.008755775828332962	0.0	0.01891732140125304	0.09030230773133573	0.0	0.008640916372156594	0.006367446486559046	0.0	0.0	0.0	0.023047939292348857	0.00012147795677854351	0.04622157019456935	0.16743326687505747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036080009417056823	0.0	0.015984433241475728	0.21968320716166007	0.0	0.0	0.0	0.0	0.018933473259882417	0.0	0.19914508797353586	0.0	0.0
Aque_21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006748382226359257	0.005625087290423032	0.0506193718188621	0.0001786816932863523	0.027063349952506498	0.0020777791727374603	0.0	0.0	0.008597843487003267	0.0013431035170058502	0.01825529048818788	0.0	0.007070347163418642	0.004138574563807756	0.00028680339055731487	0.0	0.0003419891722821779	0.0	0.0	0.0012684522728407437	0.0	0.0	0.011159419584943053	0.0	0.0	0.011202886694797454	0.0326757122312254	0.008403126700199475	0.0007522998998139695	0.005667456306175076	0.0	0.0	0.009636224985327676	0.008566079081736212	5.335206716335376e-05	0.00025769051455468373	0.0	0.0040479229374713235	0.01783025412321074	0.006803207101290137	0.00024879890688156577	0.0	0.004468195814949815	0.0003660535559789224	0.0014503220518283194	0.0	0.0	0.0018288924238023432	0.0019332065766645532	0.003119159345025604	0.0	0.0006791343259024407	0.007519921520487196	0.0009366610710826462	0.0004423381714340932	0.0	0.0001751242107144357	0.0	0.0	0.0	0.0	0.0	0.007805557979838167	0.0025743165113124447	0.009939452090635936	0.0003777079564661838	0.015381060631146262	0.03856053345843877
Aque_22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028798593308276832	0.004437301923823489	0.011031405506134365	0.01524668621417757	0.0037463991788716324	0.0010403595033478138	0.0	0.0	0.00040167134032208777	0.0006246004909368952	0.019075792184556333	0.0	0.0	0.0028362085787728233	0.001858973472313462	0.00511374394067744	0.34310066011491724	0.00013397004630492942	0.0	0.0059345956313550845	0.0	0.0	0.011126450382774879	0.0017126726051780335	0.0002337983628983868	0.00017689300348208708	0.00111052527754443	0.0013019951908277072	0.0013967407167034447	0.025385462845767103	0.0	0.00012433016914732467	0.02513039993152154	0.0015935524275219478	0.0	0.0034569743760652625	0.0	0.003452268048029548	0.001123917803354932	0.0003123509740542473	0.0014235736303283611	0.001179653547175271	0.005844324575873596	0.0010798620083275834	0.005493625974258507	0.0015553225993882864	0.0	0.006527038909012392	0.0021135083227462477	0.0007900614056283943	0.04939590667198696	0.001785600646331327	0.0036985582447986963	0.001845118263570169	0.024858604338919586	0.0016570235487171569	0.0034529581239517693	0.0	0.0	0.0	0.0	0.0004983206981512289	0.003954109497666794	0.0015255136760305497	0.0010898097164732242	0.0	0.0008546671162789614	0.010100084778354581
Aque_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01973130113242858	0.36919207287962635	9.933714956257122e-05	0.0029473015140720413	0.00024809877707359263	0.15825957927839213	0.0010574537568551418	0.022355803432094593	0.0007954572289173509	0.0006766697585387233	0.0011608038829003082	0.0580577063954665	0.01885147764019976	0.0	0.0	0.0	0.0	0.0007120374870783655	0.0	0.0024905314614806382	0.0	0.0	0.05462730846060915	0.01081311292447549	0.04597272801669439	0.002683145235240962	0.0844638825992029	0.007491101907902395	0.03855676460382731	0.000837266666473722	0.02290984892335369	0.033774914822201234	0.0027625486949955412	0.000577542282297295	0.0006359611654669494	0.0	0.008472078419021457	0.0	0.007515288125571793	0.00016200960392465777	0.0069635341721349135	0.0	0.004185394700120434	0.023094518502063337	0.011842935128014938	0.0	0.0	0.021415666775052182	0.0003036272700404294	0.0	0.0	0.0003451593425496309	0.011725560826833497	0.001978382636368463	0.0	0.0	0.0	0.0017519542367771177	0.0	0.006711750207276793	0.0	0.0	0.0011560632280887087	0.022049817444313027	0.0	0.21854191664362807	0.0006967092041248453	0.0
Aque_24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002195134491720003	0.0	0.0	0.0	0.004156590286466113	0.0	0.0	0.0	0.0	0.006705546855367915	0.0012519385197301979	0.0	0.0	0.11744936590029442	0.0006274519816431591	0.0	0.0005157459371368372	0.0	0.0	0.00037388997761791525	0.0	0.0	0.3431770156388565	0.0	0.0	0.0	0.01973981471825631	0.0	0.0	0.004679087266129726	0.0	0.0	0.0017077666059774298	0.0010788269086757997	0.0017472664114929488	0.0	0.0002607758438282513	0.00048130396269028516	0.00046011255078373095	0.004788816468856355	0.0	0.009764241599579124	0.0	0.0	6.166564657555665e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.18408728504830527	0.017391783636153617	0.017304973450454213	0.0	0.0004699368500720301	0.0	0.00019395427973305078	0.0	0.0036462141809456713	0.0011156138534931172	0.0	0.005708873845988201	0.00011105961016668277	0.012527158933020626	0.0	0.0019445110059579406	0.011088076783181395
Aque_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13532520041280832	0.026829719582943105	0.0040161859283506665	0.0	0.0022647088797839794	0.0003402697106397783	0.00012396964307515452	0.0001486583229600153	0.2534555551047312	0.00047988064818928807	0.024853488321747132	0.0	0.0	0.0	0.0004649070162710328	0.0	0.0	0.0	0.0006606995989087753	0.001918932223752273	0.000447529836029648	0.0	0.005941725833823101	0.0002040655290187281	0.0	0.0002956794989685623	0.016087388206406827	0.00030737890281625657	0.0	0.005382891410256814	0.0	0.0	0.00017004003509822916	0.0	8.691577465709364e-05	0.0	0.0	0.0	0.0	6.811211612456648e-05	0.000235802474485534	0.0	0.42352497219554275	0.0	0.0008209867863375426	0.0	0.0	0.0	0.0	0.0	0.00046906456335092184	0.0	0.018065345309850538	0.0	0.006007047919588901	0.0	0.0	9.415275515149285e-05	0.0	0.0	0.0	0.0	0.0	0.00028507423302625716	0.012708447282038788	0.0	0.013761017164840714	0.0
Aque_26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02362567420717333	0.044244947579357735	0.0	0.004180400416680115	0.0	0.004968400117416722	0.0006959377390321788	0.0	0.0	0.006004634920651898	0.014249020438692233	0.0	0.0016135189882002371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05033977158469323	0.008675273775060189	0.0015877848801174523	0.003360987329709865	0.08415095949538286	0.0031076508305431364	0.0028262812391573176	0.004357209468311866	0.0	0.0	0.007401457167510212	0.001984967430081177	0.0003865579048104584	0.005367990360313187	0.011490570954700848	0.0014059163962573738	0.02567523926970695	0.0013700286636135184	0.005851143353592459	0.0	0.0	0.0	0.005717846320248859	0.0	0.0	0.014311411499670645	0.002006286566689993	0.0	0.0	0.0	0.021406557700864765	5.6641854567996386e-05	0.0	0.0	0.0	0.0	0.0	0.001499134485890843	0.0	0.0	0.022546630195255567	0.003282748728265369	0.013972925530223676	0.011648975166701925	0.005113683623472632	0.0
