	Aque_0	Aque_1	Aque_10	Aque_11	Aque_12	Aque_13	Aque_14	Aque_15	Aque_16	Aque_17	Aque_18	Aque_19	Aque_2	Aque_20	Aque_21	Aque_22	Aque_23	Aque_24	Aque_25	Aque_26	Aque_3	Aque_4	Aque_5	Aque_6	Aque_7	Aque_8	Aque_9	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_3	Slac_4	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Aque_19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045844850756416954	0.023800011412245244	0.002839542838498321	0.01261385670872904	0.007882132953326971	0.0013741461070368554	0.0034145971519657127	0.003844840080268106	0.0008068072887765507	0.019713803009664597	3.5502732276528226e-05	0.00020287772756587746	0.058362291737335	0.0	0.0	0.0	0.0	0.004073112287970194	0.0029867497775221854	0.0	0.0010643985829093929	0.0	0.0004523991300544574	0.11888172098872807	0.059887115999522	0.03696835406480865	0.008751525884844392	0.0017736529584786453	0.009309833325868279
Aque_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35890533543031344	0.00968005030599987	0.10329169459687508	0.0	0.03104110765807693	0.006777849147351869	0.0	0.0	0.0023331670491234134	0.20584874459007835	0.20844281642015422	9.50942753015588e-05	7.165028903651283e-05	0.83199570238635	0.19156842535284163	0.17165395219020607	0.08954068319817021	0.0	0.014541080986663946	0.006830390101090466	0.0017693717598137246	0.01483331503106564	0.29965003972046644	0.0	0.0	0.0014249216653735906	0.41236961586772863	0.017936085045333887	0.0
Aque_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3911256795150635	0.0	0.0	0.0	0.1225417378996948	0.0	0.0029139043657032673	0.0	0.0008148785763170017	0.0	0.06209430954190972	0.002169941849195455	0.0	0.0	0.0038625619947705433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02817703282305794	0.031732868825724486	0.0	0.0	0.0033640717661936543	0.22682848417538146
Aque_21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034315507979526825	0.005382345524025981	0.02421861014621804	0.0004767005609426652	0.024539889975445463	0.005146446891694577	0.0014224869310669604	0.0	0.0070657270007926255	0.002344337042444887	0.02522426864327726	0.0	0.0017246029713925506	0.0018154222745741684	0.0	0.0	0.0007206873993513261	0.00023594462969594087	0.00015721933422303214	0.004053849601033095	0.0007938093555220833	0.0	0.01710158015513897	0.00027316638612173954	0.0	0.008442605278323018	0.03846223902941732	0.011362767415107427	0.0011224293752170743
Aque_22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01819125088039445	0.003878270964106453	0.006665854329716864	0.015381906324400766	0.004170295436053761	0.001413767078226833	0.0	0.0	0.0010352117040570092	0.00042597613481005716	0.008066884641824446	0.0	7.591432571511583e-05	0.0061352328179371685	0.0	0.007490816607190425	0.4166921450709933	7.513609297270222e-05	0.0	0.004611151293604238	0.0	0.0	0.0040358636586812265	0.0008593505978578293	0.00039341487137104495	0.0014975824300536922	0.0011232026912810676	0.0009176804530750933	0.0014829679208386958
Aque_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014093575991532053	0.4616068839866462	0.0	0.002966252234508464	0.0007286860504292768	0.12938011860569024	0.0012815967489936595	0.019050257871298614	0.0007754501651458348	0.0009145248130269822	0.0006956500583225178	0.06005928693813321	0.041837720602754556	0.0	0.0	0.001029549136842317	0.0	0.0006149052714165602	0.0	0.0024290851079935864	0.0	0.0	0.05008699378835542	0.008002536949835316	0.0338662985965744	0.01917970319640791	0.06994513679564585	0.003986914033973699	0.041330881764479036
Aque_24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00082987852529522	0.0	0.00038125996478660803	0.0	0.004354638323189138	0.0	0.0	0.0	0.0	0.021117990139926306	0.0013681548171523036	0.0	0.0	0.09502768201309418	0.0	0.0	0.00034955995059812256	0.0	0.0	0.00042216672336416227	0.0	0.0	0.3945128212291781	0.0	0.0	0.0	0.020851966894924155	0.0	0.0
Aque_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06544422929390757	0.0199480277578505	0.008819188617912475	0.0001727044779465509	0.00137119156751594	0.0	0.0	0.0	0.4287113490247568	0.0012470516570466223	0.017540671769448787	0.0	0.0	0.0004588517773651468	0.0	0.0	8.891666359156898e-05	0.0	0.0	0.0009898596120394532	0.007193794630615737	0.0	0.0074533264635871874	0.0003212389337910899	0.0	9.399825677641703e-05	0.011151496376703509	0.0013067960607584933	0.0004438564475176939
Aque_26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025790378962379557	0.046678306237858354	0.0	0.0	0.0	0.0046167835694184405	0.0	0.0	0.0	0.0009671020145107569	0.007012738698727214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06312971668271258	0.0018930634456885583	0.0	0.006697494892695763	0.06934378778366937	0.0010940590756679728	0.0009474169234210617
Aque_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023664437214412247	0.37869305260820113	0.0	0.21539477025128706	0.018574222929219453	0.13242701960076247	0.14313870522951921	0.2712119310906667	0.0	0.03336110920716734	0.0	0.034268543742063236	0.40408147354163004	0.0	0.0	0.05236971893766558	0.006422067620609567	0.0	0.0	0.008524481609466018	0.0	0.0	0.022386369476749848	0.5773150820391784	0.5571702252577937	0.39409210424855223	0.00614403748299564	0.1692875368461327	0.1242043129476095
