	Aque_Archaeo_1	Aque_Archaeo_2	Aque_Aspcinzin	Aque_Bactericidal	Aque_Choano_to_pinaco	Aque_Choanocytes_1	Aque_Choanocytes_2	Aque_Collagen	Aque_Pinaco_1	Aque_Pinaco_2	Aque_Sperm	Aque_Unk_1	Aque_Unk_2	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_29	Slac_3	Slac_30	Slac_31	Slac_32	Slac_33	Slac_34	Slac_35	Slac_36	Slac_37	Slac_38	Slac_39	Slac_4	Slac_40	Slac_41	Slac_42	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Aque_Sperm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004984742051746193	0.004999353044340926	0.07126315298529266	0.0019768665357770684	0.3822877644926753	0.00831768704144088	0.0018723187818098608	0.0	0.026307906600695784	0.01522346606470952	0.003749588947187077	0.22064145834151513	0.0035692040965979027	0.016634076718997103	0.0017339253095983958	0.0005356558271706342	0.0012479652511432624	0.00030327100335468104	0.0031821979161961037	0.00011716961346134699	0.0009850403376729165	0.001158903566560645	0.0	0.0012024300947622853	0.001346870326759038	0.012966463282141249	0.0	0.0009369553834453019	0.0065775333235981335	0.02166224309582047	0.0	0.011103481580005362	0.008835815372351091	0.0	0.4651193913859655	0.0005212278832985987	0.0	0.0	0.0	0.005868114430728186	0.44662778730868746	0.012339873066666033	0.0016396574982711146
Aque_Unk_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027051924932968485	0.03370024623119573	0.22737182477762535	0.024890401613260834	0.6897607995382333	0.019360881802001302	0.0019637794980633732	0.0	0.06453084350267768	0.0739718744415134	0.0	0.3047272020201193	0.03634578017972072	0.004112659332728266	0.0020695065093600993	0.009512973012014873	0.014330371351871837	0.011345993299100555	0.0440571622778277	0.0059589592997676384	0.010286451774569948	0.01299037045458155	0.012924154227184187	0.02002719768168605	0.0016197444454813515	0.06317615223066778	0.0015557179076413344	0.019697320557059216	0.007601343946681193	0.1344158629889755	0.0006431375380115991	0.04605823220030852	0.015594703755446563	0.00411171743780414	0.834407364220626	0.002432395708386332	0.0	0.0023395075329991515	0.022408868393941773	0.05801639699189479	0.7040611390484686	0.09815024085277217	0.020930956495409193
Aque_Unk_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043890871155864404	0.019298961658990733	0.0289277452133699	0.0013734711682890173	0.008866363389320939	0.010694658754459676	0.006956778232962949	0.0004941604509265988	0.021076035160447794	0.007498196539068867	0.0069626247427685166	0.0022259654736949625	0.01605648008970303	0.008434382023578265	0.0009754280876232624	0.0018601564957592739	0.0	0.0	0.0	0.0	0.0019568540780593364	0.0058970971862146865	0.0052121143731574055	0.01267730633474475	0.0003711231434673421	0.0008854728299674406	0.0	0.003924823125296255	0.0011599362440408312	0.006844108145612611	0.003966970715389897	0.0006642195710301051	0.0024435540216674145	0.001342637938397233	0.018836009633385862	0.0009203582356346401	0.0	0.0	0.0014781454602319347	0.010594617940776806	0.02104730687152124	0.012823710664081936	0.005859789608537775
Slac_0	0.7660857053764788	0.5415084451731202	0.14148132742502956	0.03865848160782097	0.00027466316874038253	0.0367371423450778	0.027760857723490982	0.02416444370303295	0.02081390121252021	0.18244580252057213	0.004984742051746193	0.027051924932968485	0.0043890871155864404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_1	0.5683669552738857	0.47638263485673543	0.29539617274885654	0.002534790743825348	0.020828859130047846	0.052271604212053235	0.04307079310390716	0.2596880741087082	0.05772568560362827	0.09969549036008561	0.004999353044340926	0.03370024623119573	0.019298961658990733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_10	0.05362203891580408	0.05795633487766412	0.17626320827740058	0.0008941643340947593	0.07947075792551694	0.3444807146567134	0.3836633625325957	0.029512079892656102	0.3940264843437764	0.32828250423458377	0.07126315298529266	0.22737182477762535	0.0289277452133699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_11	0.4331239738000329	0.31232335449699566	0.262513900206205	0.0010651474948718334	0.004728825730333509	0.034596707359870756	0.02637752502866119	0.056063073411329954	0.02810329669136192	0.02365699035098624	0.0019768665357770684	0.024890401613260834	0.0013734711682890173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_12	0.1053796659853157	0.3449824858263776	0.44473217435636386	0.00027363831923957167	0.0039532011393171775	0.10088439814606975	0.07462099115279562	0.025938448780583788	0.02815974214288249	0.017294092370128238	0.3822877644926753	0.6897607995382333	0.008866363389320939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_13	0.12671497437781176	0.19753373137406213	0.21286237923013882	0.008075043731719913	0.04396212415883675	0.11251073287972106	0.11792538273656036	0.037886902724952896	0.44298115410559075	0.43319377867154485	0.00831768704144088	0.019360881802001302	0.010694658754459676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_14	0.00696517985657758	0.004341456746168671	0.016934887067320655	0.0010352117040570092	0.046810972373876436	0.033060503494048904	0.008507172682826188	0.012489488586899704	0.9123719652714755	0.2514302912225033	0.0018723187818098608	0.0019637794980633732	0.006956778232962949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_15	0.0	9.078821573249609e-05	0.012655149708629937	0.00034981426388409247	0.6612579010901454	0.3473404362467235	0.5987391422957995	0.0019907769624249875	0.28182687312675603	0.015051862838836444	0.0	0.0	0.0004941604509265988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_16	0.15429468821127706	0.34787371429381864	0.33115116887854296	0.0020485082627105006	0.04264692591654665	0.11284219687830806	0.072694981598365	0.0708089666493531	0.3736536909721194	0.077889966797742	0.026307906600695784	0.06453084350267768	0.021076035160447794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_17	0.03445370071532156	0.04714252358467055	0.07694435033600208	0.003744508610236627	0.31929533243823705	0.08258596648921153	0.24389820666213727	0.0013321663454925665	0.572938094646	0.16997643082479993	0.01522346606470952	0.0739718744415134	0.007498196539068867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_18	0.0036804135584650372	0.0011587962156185416	0.014709759618818189	0.00014149035474496672	0.002811494741836318	0.30839727137569295	0.40761306814427734	0.0027743038753917483	0.26318396719623494	0.11534192522902423	0.003749588947187077	0.0	0.0069626247427685166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_19	0.3196913523034474	0.3274904110641689	0.3161180898285387	0.008218568585421917	0.0018064050342719083	0.06754572026088132	0.044714324717986725	0.0141630834542084	0.04445108335062706	0.014828407100563124	0.22064145834151513	0.3047272020201193	0.0022259654736949625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_2	0.6422497625918749	0.4960590318183799	0.22899772824008183	0.010543947667534076	0.004139387483291965	0.036771618803921026	0.027907317104284568	0.19538481739585462	0.013714577842971688	0.07465171820070829	0.0035692040965979027	0.03634578017972072	0.01605648008970303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_20	0.12841893361232376	0.1170361183624139	0.12292416095677064	0.0025050930397496566	0.007131482452417522	0.18080886356472753	0.22102542680026568	0.02238461142056637	0.25353092371772323	0.16225181638581387	0.016634076718997103	0.004112659332728266	0.008434382023578265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_21	0.6812422727090761	0.20885225736339524	0.019602230964549057	0.017236461574233784	0.0001722539735536261	0.03059297687380997	0.002532381570719191	0.006454732540004444	0.0019763826746880733	0.19367088383857106	0.0017339253095983958	0.0020695065093600993	0.0009754280876232624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_22	0.0436974611543051	0.09128376824400361	0.18448552796312487	0.005392535752130305	0.22842925097983935	0.053876363206679545	0.15689165740225908	8.781453530090386e-05	0.5624453200450411	0.06848061457306107	0.0005356558271706342	0.009512973012014873	0.0018601564957592739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_23	0.4376318690423145	0.15569787188952994	0.1251304921788714	0.0024833019970365152	0.0	0.020055451882025732	0.010466682273538414	0.0058409111977385615	0.0010639317102796465	0.0088147588507078	0.0012479652511432624	0.014330371351871837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slac_24	0.0007128600494674529	0.0014095883121702881	0.0333945309949069	0.0	0.741385840983159	0.3954162402287685	0.5118789452392914	0.0	0.036758933302112315	0.001967054264234811	0.00030327100335468104	0.011345993299100555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
