	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9	Slac_0	Slac_1	Slac_10	Slac_11	Slac_12	Slac_13	Slac_14	Slac_15	Slac_16	Slac_17	Slac_18	Slac_19	Slac_2	Slac_20	Slac_21	Slac_22	Slac_23	Slac_24	Slac_25	Slac_26	Slac_27	Slac_28	Slac_29	Slac_3	Slac_30	Slac_31	Slac_32	Slac_33	Slac_34	Slac_35	Slac_36	Slac_37	Slac_38	Slac_39	Slac_4	Slac_40	Slac_41	Slac_42	Slac_5	Slac_6	Slac_7	Slac_8	Slac_9
Scil_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12392838726835417	0.05222160846438397	0.029527343707629224	0.014329994301577473	0.03668796423128871	0.015467198120529237	0.013419475810155354	0.027816727369105138	0.02283637531671424	0.01725157456193838	0.015855216333312692	0.025449290525471447	0.033063465335839703	0.024271567195142427	0.009809990952256658	0.007594787765648377	0.007145469886793881	0.005475469887083984	0.14755754397567614	0.0029552132765713725	0.020598018914924368	0.007747550182618373	0.013233802105266843	0.02355438954293259	0.08234914673527015	0.012612869501076093	0.007200751073475434	0.009337728084485629	0.01601445584826656	0.002137263410803651	0.004341735986056971	0.005892820156319499	0.005742380206940961	0.0020541670935012345	0.15227414838310777	0.0013721469258565458	0.03243821598785813	0.0027541531203632646	0.017385773193583084	0.03868347313866228	0.04381092551430159	0.03293313924661356	0.027325376978683157
Scil_19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.691789349700355	0.144769047571356	0.009013808686625855	0.09466439997118288	0.029256117177154494	0.021885826978674902	0.00016944413115969214	0.0	0.02498433561246249	0.005316521881492827	0.0016445553727716157	0.1750173242656189	0.34082659291242046	0.055282956602743814	0.3373203217036595	0.02291698754139681	0.12526001545026966	0.0	0.0	0.04680109136859463	0.20725493242306708	0.050442886351508155	0.03897266158548528	0.2586069657988951	5.506315969649962e-05	0.020753740887312393	0.0	0.0683652061919072	0.05568430767187212	0.0004023736665083673	0.007208711084797899	0.002864434747521356	0.00032218868134552275	0.011276214625704566	0.005562267259749776	0.0	0.00012397106538777303	0.03579906001024366	0.28929205077268316	0.26113081221629525	0.03882020295413449	0.0003823378001803754	0.0
Scil_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.497286248246587	0.11644536898992341	0.05819403276871763	0.06893435245872766	0.08010962706483454	0.047826411813545154	0.017164052156285713	0.170482245751608	0.08982204433863986	0.04744759605085333	0.04483372384258778	0.05552001078790699	0.12083016042014036	0.049543348455775946	0.04216141654555698	0.03840665565851628	0.034867292746918736	0.04342046354237813	0.15981360650807203	0.0293998950611134	0.03842799435960195	0.04230451332786318	0.0445038809458903	0.06176721745637209	0.26956745440272556	0.010125850432963074	0.02118996975339371	0.03684081640450402	0.0832500167917769	0.08603817410619814	0.022687517520730904	0.009093445969788025	0.015012309014404993	0.011742323424567592	0.15741512037135966	0.05742011052942923	0.8609396241790211	0.008371874709807077	0.06445981702661904	0.14859223977908811	0.09188131103633332	0.09691811323155072	0.1540852583393738
Scil_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17551986348776172	0.03454801909974852	0.05587078936283533	0.030630582514236955	0.031838445755069514	0.026281070828205782	0.0016344090871509686	0.11410191617680343	0.025343333941197498	0.026181595202681957	0.024712006163628453	0.02901306750088823	0.033555636529512746	0.036434154731818394	0.014037903123846212	0.023903297825505744	0.03153422112067823	0.012840691743436905	0.06973023204778153	0.015608370177491301	0.025696224799184014	0.0212431130266428	0.010888061935649975	0.024351687085980636	0.023151563336864876	0.009333848924899506	0.011984092707567178	0.006822402645907393	0.008151430338464985	0.03502537795566678	0.015788658312928968	0.0048329027158412596	0.008082799598418481	0.002027664705503474	0.09670970560994999	0.035504827738130566	0.031127795863335833	0.0027314477986281017	0.030807341835667867	0.03172659546955003	0.035131545318485086	0.03539368261852093	0.08174295339983842
Scil_21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008305528886884744	0.0009034036040246754	0.6902118650775755	0.00023035247699713037	0.007613583252828081	0.6247116238091216	0.011107411463461638	0.08349581828749533	0.08877983345078755	0.5147931176376824	0.4253334963172515	0.009499266354121443	0.00025212150659962397	0.2904644570821007	0.00022698815516598815	0.4202730845555112	0.00024395121091864104	0.06861798416597348	0.14768854029224615	0.0	0.06171532875625365	0.0	0.00011604883566939092	0.0	0.000772832003502426	0.24828197713127942	0.15139147294162292	0.0023407271254807	0.0007039786846494799	0.015048968255411738	0.0013352342809686685	0.040556590519210664	0.0	0.00024995421380227963	0.009921884932633762	0.03504957825882684	0.0	0.0	0.0	0.009994958033040607	0.0020854850093300304	0.6127721849349113	0.4114399202160029
Scil_22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0493604238292032	0.035666454235504255	0.030988022073843446	0.007494558508206697	0.24185472053600043	0.015721150583758142	0.001053502118498334	0.004832727237886287	0.040642912677824314	0.03589547729513841	0.005348741027446419	0.1554355536225523	0.037220512467676166	0.006611882283779391	0.003930072256188555	0.0018738762110806838	0.004131362772917341	0.004430373639049437	0.0728979087594666	0.0010543907217964968	0.0063492787474082645	0.0066808195526463264	0.006917629331793317	0.01756560668224681	0.0025299714934121764	0.008627920738031416	0.00377828866773677	0.013714115740900418	0.004193931669000661	0.013167277785185541	0.004482776427976663	0.007509168330976544	0.004386096842095568	0.003807148520163269	0.25623991927965195	0.0004785315650354677	0.004514545389083125	0.0	0.013627582453110732	0.03604234590978202	0.24629596063603648	0.012219899929521556	0.008680174743543325
Scil_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06035003386435177	0.04419524983122846	0.026179195308685475	0.02673546186470399	0.022231758051692575	0.01968413139536306	0.006232072638068511	0.047847220134878764	0.02512058935453134	0.016760711656894182	0.010644669492636306	0.012015085217829085	0.04049418169973999	0.029216738227612126	0.0017312381504564545	0.009230398575945237	0.005361326550993839	0.004874585007896349	0.03393352864201858	0.005834828884517197	0.009902780697992053	0.01984238803316737	0.021123663019395802	0.04429655511919144	0.0418568636791006	0.007662298723835265	0.012286886240580101	0.018901041041646038	0.020151089457160116	0.01807981588097654	0.013397515632924722	0.007168129584574329	0.005702587717335653	0.010484029069775592	0.04932080957451239	0.005982337666341867	0.04257007468044081	0.0009697849988992804	0.016882148217431354	0.024536031787773867	0.028482613062162522	0.04132008344371281	0.045246503902146025
Scil_24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6088302329537317	0.08434644533689227	0.018941662468070282	0.03496845331502539	0.024913205871844476	0.0308503252657067	0.0001474014992023765	0.0	0.020132961677754295	0.00513872615242432	0.006202441228912889	0.13799956947919276	0.30847628892021384	0.051995948485270074	0.3670659759615179	0.020297359629962153	0.10253541010563853	0.0	0.0	0.039034818554685144	0.17792657774284573	0.024673656548723607	0.03631926937007507	0.1464698567942831	0.0	0.008237587140588384	0.0	0.05012183505390481	0.028241475788209052	0.0	0.00398264452707963	0.0011576060689354258	0.00022406745187454787	0.004735251860848793	0.004231985636237066	0.00024559070061316754	0.00013237016642758927	0.02080040400001996	0.17480644304678805	0.3021781905419201	0.022192120477214708	0.0008900338694049265	0.0
Scil_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001074966936524136	0.0013986288329657466	0.23429377025831039	0.0005903789200752323	0.030966770767552988	0.17615922615076954	0.007368400676143498	0.011357696361811278	0.01065894587700969	0.7316397339701612	0.02836867528634836	0.0	0.0009296578935700676	0.03806242942505607	0.0	0.011994769278097454	0.0	0.0026920035467000026	0.011611436930843716	0.0	0.004919527862837349	0.0	0.0004086661255624055	0.0	0.0	0.06678060420737165	0.00558349427585874	0.0006299338623362536	0.0	0.0006024873894931364	0.0	0.006735160563276265	0.0023437378869597967	0.0	0.10623468333669042	0.0	0.0	0.0	0.0	0.0010810801654995148	0.027871066509733405	0.18775923044191756	0.031306715519120135
Scil_26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008001163300919937	0.01604880235252105	0.792633389547812	0.009167368805039945	0.006182471775306785	0.4903803237921771	0.0030417508851665613	0.036206248507571995	0.06454609889557275	0.10618731504559213	0.7894847155531137	0.00871395706471983	0.005092152695455018	0.5292756232262145	0.00028912336337931765	0.10961676542330503	0.005306770369152393	0.005294388985152677	0.0009089965388842828	0.0015202633912938155	0.08717380230835503	0.0	0.0010730790918589367	0.0	0.0010065270600268105	0.021761851414388543	0.03497504364861889	0.004370272487242985	0.001193853280244943	0.0	0.015168362416429238	0.012488733137209213	0.0023717119362403876	0.0	0.0015439179224205385	0.006239365686316317	0.0	0.0	0.0	0.00747763144786123	0.004509174348866647	0.16365481251550415	0.09837487969711742
Scil_27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5783336883074502	0.2938979136195061	0.011904065818718562	0.12437017344403871	0.010110575149262183	0.017066015123372337	0.0002051708237645093	0.0	0.04340497629986305	0.011182275399702454	0.000717133894824692	0.05180710267115006	0.2934219844755301	0.02022501038334725	0.1328951682584307	0.0007952164508644961	0.04864243336654028	0.0	0.0	0.09285106100103162	0.04772148623265206	0.01752822552412383	0.08228731900500165	0.20876623715395454	0.0	0.0030946512820811114	0.0	0.05622982477419388	0.021427148088892515	0.0	0.0021821151450688017	0.0004613785780956629	0.006362777829089068	0.0254936301400095	0.0	0.0	0.0	0.0	0.2582440570216522	0.289533873957822	0.04614352768339097	0.0036079370717000125	0.0
Scil_28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012564006555203436	0.0009791150850832642	0.51745525763636	0.001236066217030435	0.00228250640485308	0.14139120373039687	0.0	0.03348046810938397	0.00290130574091967	0.005805502001966446	0.4645085270498213	0.0010789462878346956	0.0017307915768714488	0.18510029760428948	0.0006538883923945507	0.002490253361780848	0.00023637168272302214	0.0057037469324317785	0.003729728542547936	0.000620010829599561	0.013260244925598108	0.00028251404612310337	0.00020788578739538286	0.0	0.01379926892268699	0.001072059284497055	0.007388556886596417	0.0007015229394171366	0.005107670513438456	0.0008762553253434844	0.0005535213675821585	0.0007824232303988004	0.0029132793018742833	0.0	0.003126487090297483	0.005716475788074814	0.23620921177129484	0.0	0.0008274995057037429	0.002334409448336765	0.0011858275506718577	0.011138224347765683	0.03143319329705342
Scil_29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024693336507328276	0.0041967141410777726	0.016823017482283147	0.002040748286711766	0.006447599137758543	0.007124662488917924	0.0027150710690406	0.061273220598036915	0.010962859253156156	0.008248877992089542	0.021751912099365434	0.004871431909510812	0.006604507098704753	0.006128378819848567	0.0011653613024436367	0.014464389184047369	7.825210490866015e-05	0.008675076380487442	0.0528815763071175	0.000563040048820417	0.005615624584782331	0.0014547542869097856	0.0008572514907671955	0.004270499427523784	0.042027262020957565	0.002916749728050559	0.017757074402475013	0.0016052993754225875	0.004842432294515788	0.003038708279763225	0.002739701871055286	0.003817804475126407	0.0007624059240862321	6.122052324371662e-05	0.03249716839560211	0.010072553642872278	0.02096816244213074	0.0006741935524323574	0.0010168870513711382	0.00541523556934969	0.019378937598048426	0.030420633934670295	0.05408569337956513
Scil_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4437221581379668	0.30724029597719904	0.10510536954212797	0.28065866257230915	0.07050255164108983	0.14918514813471434	0.022704317335365792	0.22094333256470594	0.1595777019045113	0.055110187853474525	0.06936143689840235	0.058780271999935574	0.20139098555425602	0.09074833407994172	0.041351706268866924	0.11573988041360932	0.2220221456192947	0.04139308609937064	0.18371665910471685	0.20158002718158433	0.11856178592442079	0.1952726616436743	0.11825593077461186	0.1809084358395327	0.14849537818854613	0.051462465087092304	0.02512998327732639	0.10416784852103564	0.04474195969135109	0.4270410746544301	0.09505533128082669	0.022150686259125568	0.03931853165309694	0.048544706958919666	0.18857810693658086	0.15995324233431293	0.13276546737517456	0.04794309081690227	0.2377502809017479	0.21591805551984952	0.11647089157412857	0.14729282804617672	0.18598543073765222
Scil_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014098352614303603	0.04252222456374799	0.06990120617056746	0.011797322808795403	0.004682640614937585	0.06692352377630274	0.1581984440130474	0.2183237637430929	0.0421279535850312	0.1952647839615693	0.007959595773961629	0.001743680684484317	0.03948305087233543	0.016379050884039282	0.003863122805563972	0.03527915693497802	0.0	0.2275371917602526	0.025510832589768113	0.008402275313158705	0.0018036774149839667	0.0014132470471112212	0.00938600697981209	0.02144843344341598	0.028823166515918226	0.021350833851588345	0.045071027551865636	0.005535963551313287	0.007780754651920406	0.002667326007736924	0.0016035925545549422	0.024691212513214673	0.0012844025821814394	0.0025100179047078796	0.013304743213428453	0.013408492853501342	0.0002047441754135312	0.0	0.03333080354659275	0.04058321734381449	0.013216525110734883	0.2223551416894233	0.2349052044874013
