	Aque_0	Aque_1	Aque_10	Aque_11	Aque_12	Aque_13	Aque_14	Aque_15	Aque_16	Aque_17	Aque_18	Aque_19	Aque_2	Aque_20	Aque_21	Aque_22	Aque_23	Aque_24	Aque_25	Aque_26	Aque_3	Aque_4	Aque_5	Aque_6	Aque_7	Aque_8	Aque_9	Scil_0	Scil_1	Scil_10	Scil_11	Scil_12	Scil_13	Scil_14	Scil_15	Scil_16	Scil_17	Scil_18	Scil_19	Scil_2	Scil_20	Scil_21	Scil_22	Scil_23	Scil_24	Scil_25	Scil_26	Scil_27	Scil_28	Scil_29	Scil_3	Scil_30	Scil_31	Scil_32	Scil_33	Scil_34	Scil_35	Scil_36	Scil_37	Scil_38	Scil_4	Scil_5	Scil_6	Scil_7	Scil_8	Scil_9
Aque_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2947127437420267	0.0	0.000180035841773884	0.08929719354951005	0.12410319121377471	0.00637209131832548	0.009732593397564795	0.00041883323451461874	0.061641475320230565	0.01900088710030946	0.09218972775070824	0.025438685151802132	0.0082431622636913	0.00739177230617318	0.003866885189640705	0.009755228343664008	0.0	0.0	0.018208752529925445	0.04099508723850728	0.15175834754161951	0.000295825599535268	0.07549462719385473	0.124987913305928	0.0063876592558853775	0.00021340200877479967	0.0	0.02631635482492971	0.0008659305523343261	0.0001660625781657692	0.0	0.07145580666272773	0.0	0.18781872844865666	0.0016595444816974252	0.08290105659504492	0.0009881130717896995	0.4209538253108621	0.0711499582828806
Aque_19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012530072695448352	0.0014228570566331006	0.0115176669792843	0.0018317783536798225	0.0008627719373003132	0.0009271072694872027	0.002497220171723399	0.0009905467171539132	0.0	0.0024522835120035697	0.005355933917253928	0.009330188302381377	0.0	0.008582617778969338	0.0004646393207091641	0.0014376672840400399	0.012117969942310637	0.044608243278724945	0.0007759092730979989	0.0	0.0	0.010374036444014044	0.0	0.0004113348373248109	0.0007148941991128587	0.0	0.0002981948116844137	0.002870070959983804	0.0	0.0033937788964075524	0.0	0.0	7.720382272198665e-05	0.00011936025225340941	0.010041244190553794	0.0	0.010311560965186423	0.0032760674199550322	0.003308824734734309
Aque_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31107327159189196	0.0	0.00023064087741549302	0.13042863538790092	0.15099540397893504	0.07748071579647395	0.002156376666230132	0.0002512621633206016	0.23818971828009344	0.04953898976543287	0.12679034723498214	0.014928000691412622	0.6070875001814116	0.005370475634706091	0.0	0.0018142094991240084	0.0	0.0	0.027712776567862835	0.10853507945952463	0.014892588514352567	0.00046626158141175017	0.1117633643722172	0.28834770449153213	0.020191342612210013	0.0329312321884634	0.05406252129761764	0.0	0.0	0.0	0.0	0.007145185434431485	0.00042726695871216064	0.3491415562190681	0.000994556129295992	0.27084434015367065	0.0023026573819374166	0.11259980715379092	0.17721687319593285
Aque_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17594325276671	0.03931891133573552	0.0	0.016541387876037983	0.007675316616066211	0.010131954446770891	0.10970585737376788	0.0	0.010252548902094791	0.005882272715676594	0.013997385615282295	0.0	0.0	0.009133795842689444	0.004544826116846226	0.00630368792131353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025370504309166497	0.0	0.0011272339715331936	0.045929318073849416	0.002148418898360632	0.0	0.0	0.0	0.04309231533991923	0.0	0.2039684277362705	0.0	0.0
Aque_21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01607201707750224	0.0	0.0	0.01631521084008749	0.010012458316949956	0.00027373466339929907	0.0006274348005584281	0.0	0.008009888982808033	0.010795113688378623	0.009398839321727338	0.003022269196599384	0.0	0.013764647123301294	0.000838095246752036	0.0007853359414152859	0.0	0.0	0.0017116469679841183	0.0023871504105985	0.0026113183469113578	0.0029352119412255763	0.0005498652251395657	0.0066023663780175445	0.0	0.0004026785775532081	0.0	0.001684192222458873	0.0003049746190936497	0.0	0.0	0.0002209637550010392	0.0	0.007207778017681357	0.0020477066179180993	0.018390546267161134	0.0	0.0157956357634982	0.019458214812277937
Aque_22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0203927908002123	0.0	0.0	0.01956343579634436	0.0052554945447385775	0.0	0.00410921063956828	0.0	0.009132139087690994	0.0010688972106292032	7.500650438665915e-05	0.0003234367665481981	7.643260060679004e-05	0.03385846432505048	0.0024753110985847836	0.0016369407316207216	0.0024245499334304235	0.0007501530134271869	0.007901514587021078	0.0029744104956808907	0.001093787236008523	0.03599164622834095	0.00013592605262002344	0.002493018617721942	0.0010613484163317054	0.006870902735752407	0.0005036536199189755	0.0035927435536567747	0.0008866750475702021	0.0	0.0	0.0	0.0	0.007264909057197078	0.0008405711887383542	0.0013191967203232083	9.426302453386133e-05	0.005177734080588996	0.006264321399277096
Aque_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023018021862451585	0.007160391270831908	0.020159689177696883	0.002618815075131086	0.002180635216464277	0.0004255238990351042	0.0	0.024063133412497956	0.0002993972295007998	0.006558173343821342	0.00012847048883938167	0.013479637574411072	0.0	0.00016393462391917454	0.01645920580267226	0.023114806656184088	0.0	0.0	0.02698681453752918	0.0004983119534922209	0.0	0.0	0.00037315652149589907	0.008202344866595756	0.003924825034129173	0.0	0.0	0.0	0.0	0.0	0.013588279997733247	0.0	0.0007257711554950362	0.00017625068746963442	0.02297365484090159	8.355391381228319e-05	0.34234461113374715	0.004763824944771621	0.0004941727260600112
Aque_24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061950568821397805	0.0	0.0	0.0	0.0002948118324715097	0.002493605053953455	0.0	0.0	0.0004993772464876875	0.0001853214544422847	0.0017097481915454523	0.001038238910058292	0.013623014584844856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002884286914094225	0.0	0.12372092261119198	0.001750221708385254	0.01864491041109454	0.0005900811729104867	0.0	0.0	0.00018587946085310314	0.0	0.0031652716766640263	0.0002734539464675105	0.0	0.009247494044915448	0.0	0.03070646714931082	0.0	0.0003694608761896704	0.005667621589070613
Aque_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010735443014345794	0.0	0.0	0.0	0.0	0.0006233712963804431	0.0	0.0	0.0	0.00010798072860447265	5.670968476634691e-05	0.0	0.0005883022198944136	0.5066481034560141	0.0006221939122466498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007532559606708729	0.0	0.0	0.0	0.0	0.005216439652168132	0.0	0.0	0.0	0.0	0.00024028342936381576	0.0	0.008389211611852122	0.0	0.006678878402371337	0.0
Aque_26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021082829983952583	0.0	0.0006038255207523926	0.004926558638006991	0.0	0.0	0.011894856567528082	0.0044352272159485905	0.0001292350937840564	0.0119309788478827	0.0007134550056856583	0.009850342614601456	0.01256554393758855	0.0	0.04615265586125903	0.015126703581916734	0.0	0.0	0.006899383192456278	0.0	5.6299224707327274e-05	0.0	0.004020510593985321	0.0016357108906778362	0.002340178261581582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0200368599438095	0.0043599532608515085	0.0	0.009723474191968076	0.016076401691900152	0.014000430048840487
